 000 |    0.99 |    3.12 | صفحه‌یِ دویست و بیست و دو 
 001 |    3.36 |    4.74 | ادامه‌یِ بلوغِ 
 002 |    5.25 |    6.96 | او زمانی خیال می‌کرد 
 003 |    7.17 |    9.66 | اگر در جایی دیگر زندگی می‌کرد 
 004 |    9.93 |   12.69 | اگر به چند هدفِ کاری دست می‌یافت 
 005 |   12.93 |   14.76 | یا اگر خانواده داشت 
 006 |   15.00 |   17.40 | نگرانی‌هایشِ ازبین میرفت 
 007 |   17.73 |   21.39 | اما هیچ چیز تغییری ایجاد نکرده_است 
 008 |   21.66 |   24.66 | او خودش می‌داند که در اعماقِ وجودش 
 009 |   24.90 |   28.83 | در بنیادی‌ترین ساختارِ وجودش مضطرب است 
 010 |   29.13 |   31.68 | موجودیِ هراسان و ناسازگار 
 011 |   32.25 |   33.54 | عکسی از کرستنِ 
 012 |   33.78 |   34.41 | استر 
 013 |   34.62 |   40.89 | ویلیام و خودِ او در آشپزخانه است که در روزیِ پاییزی در پارک گرفتند 
 014 |   41.19 |   44.04 | و مشغولِ پاشیدنِ برگِ هایی که بادِ 
 015 |   44.25 |   46.86 | آنها را گوشه‌ای تلنبار کرده 
 016 |   47.13 |   48.72 | بر رویِ یکدیگر 
 017 |   49.08 |   53.40 | لذت و شور و شعف در چهره‌یِ تمامشان هویداست 
 018 |   53.64 |   57.84 | لذت از تواناییِ شلوغِ کاری بدونِ عواقب 
 019 |   58.32 |   63.48 | اما این را هم یادش است که چقدر آن روز از درونِ آشفته بود 
 020 |   63.78 |   68.07 | مسئله‌ای کاری با یک شرکتِ مهندسی در ذهنش بود 
 021 |   68.37 |   70.44 | میخواست زود به خانه برسد 
 022 |   70.68 |   73.83 | و با یک مشتریِ انگلیسی تماس بگیرد 
 023 |   74.19 |   75.75 | از کارتِ اعتباریش 
 024 |   75.99 |   78.84 | بیش از حدِ مجاز استفاده کرده_بود 
 025 |   79.23 |   80.25 | برایِ ربیع 
 026 |   80.46 |   83.61 | تنها زمانی که اتفاقات تمام شوند 
 027 |   83.82 |   88.29 | فرصت لذت بردنِ واقعی از آنها به وجود می‌آید 
 028 |   88.80 |   89.67 | او می‌داند 
 029 |   89.88 |   92.02 | که همسرِ قوی و توانایش 
 030 |   92.34 |   93.78 | آدمِ مناسبی 
 031 |   93.99 |   98.01 | برایِ درمیان گذاشتنِ اختلال اعصابش نیست 
 032 |   98.37 |   99.84 | دورانی بود که ربیع 
 033 |  100.08 |  102.42 | از این موضوع خیلی ناراحت می‌شد 
 034 |  102.78 |  105.06 | اگر کرستن الآن بیدار می‌شد 
 035 |  105.30 |  108.63 | و میدید چراغِ اتاقِ مطالعه روشن است 
 036 |  108.87 |  112.17 | تمامِ چیزی که ممکن بود بگوید این بود که 
 037 |  112.59 |  114.93 | با بی خوابی نمیتونی دلبری کنی 
 038 |  115.17 |  116.40 | بیا بگیر بخواب 
 039 |  116.85 |  120.42 | ربیع بعد از تجربیاتِ دردناکی که داشته 
 040 |  120.69 |  124.02 | متوجه شده که همسرِ زیبا و باهوشش 
 041 |  124.26 |  126.63 | هیچ وقت دلِ گرمی نمی‌دهد 
 042 |  127.17 |  129.57 | اما از آن بهتر این است که ربیعِ 
 043 |  129.81 |  131.82 | دیگر دلیلش را می‌داند 
 044 |  132.12 |  133.86 | کرستنِ بدجنس نیست 
 045 |  134.10 |  135.63 | آنچه به میان می‌آید 
 046 |  135.87 |  138.00 | تجربه‌یِ او از مردان است 
 047 |  138.24 |  141.78 | و دفاعِ او از خودش در برابرِ سرخوردگیِ 
 048 |  142.20 |  144.09 | این صرفا روشِ اوست 
 049 |  144.33 |  146.37 | در مواجهه با چالشها 
 050 |  146.82 |  149.79 | در نظر گرفتنِ اینها کمک می‌کند 
 051 |  150.09 |  153.51 | ربیع درحال جمع کردنِ جایگزینِ هایی 
 052 |  153.78 |  156.24 | برایِ کینه توزی و خشم است 
 053 |  156.63 |  159.15 | افرادِ کمی در این دنیا هستند 
 054 |  159.36 |  162.03 | که واقعا همیشه بدجنس باشند 
 055 |  162.36 |  166.77 | آنهایی که ما را میرنجانند خودشان نیز در عذابند 
 056 |  167.07 |  167.88 | بنابراین 
 057 |  168.09 |  169.62 | واکنشِ مناسب 
 058 |  169.83 |  172.98 | به هیچ وجه بدبینی یا خشونت نیست 
 059 |  173.25 |  178.26 | بلکه در آن مواقع نادری که فرد بتواند از عهده‌اش برآید 
 060 |  178.53 |  180.12 | همیشه عشق است 
 061 |  180.75 |  181.95 | مادر کرستن 
 062 |  182.16 |  184.17 | در بیمارستان بستریست 
 063 |  184.44 |  186.12 | دو هفته است که آنجاست 
 064 |  186.36 |  190.14 | از یک مشکلِ ساده و بی خطرِ کلیوی شروع شد 
 065 |  190.41 |  191.22 | ولی حالا 
 066 |  191.43 |  194.79 | وضعیت ناگهان خیلی خطرناک شده_است 
 067 |  195.12 |  197.19 | کرستن که همیشه قوی بوده 
 068 |  197.43 |  200.22 | حالا رنگِ پریده و سردرگم است 
 069 |  200.67 |  203.28 | یکشنبه برایِ دیدنِ او رفتند 
 070 |  203.52 |  205.47 | شدیدا نحیف شده_بود 
 071 |  205.68 |  207.72 | و شل و بی حال حرف می‌زد 
 072 |  208.02 |  210.96 | و فقط هم برایِ درخواست‌هایِ ساده 
 073 |  211.23 |  218.31 | مثلا یک لیوان آب یا مایل کردنِ نورِ چراغ تا نورِ کمتری به چشمانش بخورد 
 074 |  218.79 |  221.67 | یکبار دستِ ربیع را در دستانش گرفت 
 075 |  221.91 |  223.65 | و با لبخند به او گفت 
 076 |  223.98 |  225.87 | مراقبش باش باشه 
 077 |  226.32 |  229.80 | و بعد با همان تیزِ بینیِ همیشگی ادامه داد 
 078 |  230.13 |  231.90 | اگه بهت اجازه بده 
 079 |  232.32 |  235.35 | که نوعی طلبِ بخشایش به حساب می‌آمد 
 080 |  235.83 |  237.90 | ربیع می‌داند که هیچ وقت 
 081 |  238.17 |  242.22 | مشمولِ لطف و محبتِ خانم لیلانت نشده_است 
 082 |  242.64 |  244.95 | اوایل از این موضوع ناراحت بود 
 083 |  245.28 |  247.26 | اما حالا که خودش پدر است 
 084 |  247.47 |  249.84 | می‌تواند با او هم دردی کند 
 085 |  250.17 |  254.01 | خودش هم اصلا مشتاقِ دیدنِ شوهر استر نیست 
 086 |  254.31 |  256.29 | پدر و مادر چطور ممکن است 
 087 |  256.53 |  259.68 | واقعا مشتاق دیدنِ چنین کسی باشند 
 088 |  259.98 |  262.77 | چطور میشود از آنها انتظار داشت 
 089 |  263.01 |  264.93 | بعد از حدودِ هجده سال 
 090 |  265.17 |  268.74 | برآورده کردنِ همه‌یِ نیازهایِ فرزندِ شان 
 091 |  269.01 |  272.34 | با یک سرِ چشمه‌یِ جدیدِ عشق و یک رقیب 
